PDI_max_wmo,PDI_max_usa
41006248.0,41006248.0
,
97200000.0,97200000.0
28800000.0,28800000.0
,
56250000.0,56250000.0
,
19293750.0,19293750.0
263794592.0,263794592.0
984890880.0,984890880.0
328049984.0,328049984.0
520931264.0,520931264.0
55102040.0,55102040.0
28800000.0,28800000.0
28800000.0,28800000.0
385818752.0,385818752.0
74868752.0,74868752.0
873378496.0,873378496.0
520931264.0,520931264.0
276356256.0,276356256.0
41006248.0,41006248.0
97200000.0,97200000.0
28800000.0,28800000.0
41006248.0,41006248.0
19293750.0,19293750.0
95904000.0,95904000.0
150491248.0,150491248.0
227011760.0,227011760.0
41006248.0,41006248.0
154350000.0,154350000.0
328049984.0,328049984.0
152534112.0,152534112.0
56250000.0,56250000.0
41006248.0,41006248.0
97200000.0,97200000.0
56250000.0,56250000.0
154350000.0,154350000.0
54941860.0,54941860.0
154350000.0,154350000.0
276356256.0,276356256.0
328049984.0,328049984.0
97200000.0,97200000.0
154350000.0,154350000.0
520931264.0,520931264.0
222967728.0,222967728.0
270476320.0,270476320.0
56250000.0,56250000.0
385818752.0,385818752.0
276356256.0,276356256.0
97200000.0,97200000.0
56250000.0,56250000.0
154350000.0,154350000.0
154350000.0,154350000.0
186830352.0,186830352.0
154350000.0,154350000.0
150392304.0,150392304.0
41006248.0,41006248.0
41006248.0,41006248.0
56250000.0,56250000.0
56250000.0,56250000.0
40232548.0,40232548.0
520931264.0,520931264.0
40232548.0,40232548.0
40202208.0,40202208.0
323789632.0,323789632.0
97200000.0,97200000.0
684393728.0,684393728.0
228526832.0,228526832.0
514943520.0,514943520.0
97200000.0,97200000.0
516763808.0,516763808.0
41006248.0,41006248.0
41006248.0,41006248.0
154350000.0,154350000.0
73400736.0,73400736.0
28130232.0,28130232.0
39223368.0,39223368.0
41006248.0,41006248.0
28800000.0,28800000.0
276356256.0,276356256.0
121486656.0,121486656.0
152490352.0,152490352.0
55053192.0,55053192.0
39487500.0,39487500.0
520931264.0,520931264.0
97200000.0,97200000.0
385818752.0,385818752.0
328049984.0,328049984.0
19293750.0,19293750.0
28800000.0,28800000.0
269615840.0,269615840.0
39800184.0,39800184.0
443835616.0,443835616.0
28800000.0,28800000.0
520931264.0,520931264.0
41006248.0,41006248.0
41006248.0,41006248.0
520931264.0,520931264.0
56250000.0,56250000.0
520931264.0,520931264.0
328049984.0,328049984.0
28800000.0,28800000.0
28800000.0,28800000.0
381279712.0,381279712.0
276356256.0,276356256.0
988649984.0,988649984.0
56250000.0,56250000.0
151200000.0,151200000.0
272231520.0,272231520.0
276356256.0,276356256.0
74868752.0,74868752.0
41006248.0,41006248.0
96000000.0,96000000.0
41006248.0,41006248.0
41006248.0,41006248.0
224492320.0,224492320.0
230400000.0,230400000.0
276356256.0,276356256.0
450000000.0,450000000.0
121619648.0,121619648.0
28800000.0,28800000.0
97200000.0,97200000.0
185213408.0,185213408.0
121790224.0,121790224.0
123581248.0,123581248.0
94422856.0,94422856.0
123581248.0,123581248.0
872927296.0,872927296.0
520931264.0,520931264.0
270937504.0,270937504.0
56250000.0,56250000.0
878906240.0,878906240.0
56250000.0,56250000.0
520931264.0,520931264.0
324801984.0,324801984.0
437837824.0,437837824.0
56250000.0,56250000.0
673530368.0,673530368.0
376408544.0,376408544.0
154350000.0,154350000.0
41006248.0,41006248.0
189843744.0,189843744.0
520931264.0,520931264.0
56250000.0,56250000.0
520931264.0,520931264.0
381170336.0,381170336.0
97200000.0,97200000.0
41006248.0,41006248.0
97200000.0,97200000.0
520931264.0,520931264.0
976738560.0,976738560.0
520931264.0,520931264.0
328049984.0,328049984.0
123581248.0,123581248.0
97200000.0,97200000.0
385818752.0,385818752.0
28800000.0,28800000.0
72287072.0,72287072.0
276356256.0,276356256.0
979900864.0,979900864.0
27648000.0,27648000.0
97200000.0,97200000.0
385818752.0,385818752.0
271507904.0,271507904.0
189843744.0,189843744.0
28800000.0,28800000.0
189843744.0,189843744.0
230400000.0,230400000.0
154350000.0,154350000.0
598950016.0,598950016.0
230400000.0,230400000.0
154350000.0,154350000.0
768231296.0,768231296.0
56250000.0,56250000.0
41006248.0,41006248.0
520931264.0,520931264.0
154350000.0,154350000.0
385818752.0,385818752.0
41006248.0,41006248.0
55188680.0,55188680.0
328049984.0,328049984.0
41006248.0,41006248.0
154350000.0,154350000.0
520931264.0,520931264.0
154350000.0,154350000.0
74868752.0,74868752.0
54941860.0,54941860.0
28800000.0,28800000.0
28800000.0,28800000.0
74868752.0,74868752.0
520931264.0,520931264.0
385818752.0,385818752.0
186392048.0,186392048.0
28800000.0,28800000.0
56250000.0,56250000.0
123581248.0,123581248.0
56250000.0,56250000.0
1354064640.0,1354064640.0
154350000.0,154350000.0
154350000.0,154350000.0
19293750.0,19293750.0
41006248.0,41006248.0
230400000.0,230400000.0
769054912.0,769054912.0
520931264.0,520931264.0
442372896.0,442372896.0
684393728.0,684393728.0
328049984.0,328049984.0
19293750.0,19293750.0
977541568.0,977541568.0
328049984.0,328049984.0
19293750.0,19293750.0
988649984.0,988649984.0
19293750.0,19293750.0
598950016.0,598950016.0
230400000.0,230400000.0
154350000.0,154350000.0
385818752.0,385818752.0
56250000.0,56250000.0
28800000.0,28800000.0
28800000.0,28800000.0
56250000.0,56250000.0
320594336.0,320594336.0
227483552.0,227483552.0
56250000.0,56250000.0
1224595072.0,1224595072.0
97200000.0,97200000.0
230400000.0,230400000.0
230400000.0,230400000.0
1090135424.0,1090135424.0
56250000.0,56250000.0
97200000.0,97200000.0
154350000.0,154350000.0
598950016.0,598950016.0
1107168768.0,1107168768.0
97200000.0,97200000.0
39834644.0,39834644.0
95216320.0,95216320.0
56250000.0,56250000.0
19293750.0,19293750.0
28800000.0,28800000.0
684393728.0,684393728.0
276356256.0,276356256.0
123581248.0,123581248.0
28800000.0,28800000.0
74868752.0,74868752.0
56250000.0,56250000.0
41006248.0,41006248.0
74868752.0,74868752.0
74868752.0,74868752.0
956758016.0,956758016.0
184712832.0,184712832.0
1234800000.0,1234800000.0
97200000.0,97200000.0
121888352.0,121888352.0
74868752.0,74868752.0
72453624.0,72453624.0
878906240.0,878906240.0
28800000.0,28800000.0
97200000.0,97200000.0
56250000.0,56250000.0
97200000.0,97200000.0
1518749952.0,1518749952.0
276356256.0,276356256.0
41006248.0,41006248.0
385818752.0,385818752.0
40623016.0,40623016.0
228072736.0,228072736.0
56250000.0,56250000.0
771173568.0,771173568.0
28800000.0,28800000.0
1224246144.0,1224246144.0
74868752.0,74868752.0
19293750.0,19293750.0
752516096.0,752516096.0
777600000.0,777600000.0
385818752.0,385818752.0
1234800000.0,1234800000.0
123581248.0,123581248.0
598950016.0,598950016.0
28800000.0,28800000.0
230400000.0,230400000.0
154350000.0,154350000.0
56250000.0,56250000.0
274368096.0,274368096.0
230400000.0,230400000.0
184712832.0,184712832.0
19293750.0,19293750.0
154350000.0,154350000.0
39487500.0,39487500.0
313138624.0,313138624.0
41006248.0,41006248.0
56250000.0,56250000.0
54941860.0,54941860.0
276356256.0,276356256.0
28800000.0,28800000.0
450000000.0,450000000.0
56250000.0,56250000.0
684393728.0,684393728.0
1806336000.0,1806336000.0
56250000.0,56250000.0
777600000.0,777600000.0
189843744.0,189843744.0
328049984.0,328049984.0
28800000.0,28800000.0
28130232.0,28130232.0
41006248.0,41006248.0
142476928.0,142476928.0
27105882.0,27105882.0
313138624.0,313138624.0
41006248.0,41006248.0
19293750.0,19293750.0
123581248.0,123581248.0
54000000.0,54000000.0
385818752.0,385818752.0
154350000.0,154350000.0
19293750.0,19293750.0
520931264.0,520931264.0
41006248.0,41006248.0
328049984.0,328049984.0
19293750.0,19293750.0
74868752.0,74868752.0
94707696.0,94707696.0
74868752.0,74868752.0
95904000.0,95904000.0
276356256.0,276356256.0
97200000.0,97200000.0
598950016.0,598950016.0
54941860.0,54941860.0
276356256.0,276356256.0
123581248.0,123581248.0
27284210.0,27284210.0
154350000.0,154350000.0
154350000.0,154350000.0
97200000.0,97200000.0
270215008.0,270215008.0
520931264.0,520931264.0
19293750.0,19293750.0
1223471488.0,1223471488.0
55263156.0,55263156.0
19293750.0,19293750.0
97200000.0,97200000.0
73456128.0,73456128.0
122307224.0,122307224.0
74868752.0,74868752.0
39834644.0,39834644.0
777600000.0,777600000.0
230400000.0,230400000.0
74868752.0,74868752.0
276356256.0,276356256.0
272570528.0,272570528.0
385818752.0,385818752.0
276356256.0,276356256.0
41006248.0,41006248.0
276356256.0,276356256.0
154350000.0,154350000.0
154350000.0,154350000.0
56250000.0,56250000.0
591171456.0,591171456.0
154350000.0,154350000.0
684393728.0,684393728.0
508225600.0,508225600.0
40286840.0,40286840.0
56250000.0,56250000.0
151200000.0,151200000.0
450000000.0,450000000.0
385818752.0,385818752.0
41006248.0,41006248.0
41006248.0,41006248.0
41006248.0,41006248.0
97200000.0,97200000.0
41006248.0,41006248.0
41006248.0,41006248.0
385818752.0,385818752.0
328049984.0,328049984.0
56250000.0,56250000.0
777600000.0,777600000.0
520931264.0,520931264.0
41006248.0,41006248.0
276356256.0,276356256.0
74868752.0,74868752.0
97200000.0,97200000.0
385818752.0,385818752.0
28800000.0,28800000.0
154350000.0,154350000.0
74868752.0,74868752.0
150392304.0,150392304.0
520931264.0,520931264.0
56250000.0,56250000.0
1193639936.0,1193639936.0
68062504.0,68062504.0
154350000.0,154350000.0
276356256.0,276356256.0
28800000.0,28800000.0
41006248.0,41006248.0
154350000.0,154350000.0
869845376.0,869845376.0
97200000.0,97200000.0
271507904.0,271507904.0
19293750.0,19293750.0
56250000.0,56250000.0
97200000.0,97200000.0
450000000.0,450000000.0
97200000.0,97200000.0
19293750.0,19293750.0
56250000.0,56250000.0
656267968.0,656267968.0
230400000.0,230400000.0
276356256.0,276356256.0
19293750.0,19293750.0
150920000.0,150920000.0
17150000.0,17150000.0
264841408.0,264841408.0
230400000.0,230400000.0
268887168.0,268887168.0
27428572.0,27428572.0
41006248.0,41006248.0
372514656.0,372514656.0
150178368.0,150178368.0
860206144.0,860206144.0
52941176.0,52941176.0
71749216.0,71749216.0
54310344.0,54310344.0
56250000.0,56250000.0
313361184.0,313361184.0
520931264.0,520931264.0
41006248.0,41006248.0
18709092.0,18709092.0
520931264.0,520931264.0
52941176.0,52941176.0
150585360.0,150585360.0
684393728.0,684393728.0
74868752.0,74868752.0
642915328.0,642915328.0
582156992.0,582156992.0
123581248.0,123581248.0
385818752.0,385818752.0
675505536.0,675505536.0
28800000.0,28800000.0
598950016.0,598950016.0
56250000.0,56250000.0
123581248.0,123581248.0
39366000.0,39366000.0
56250000.0,56250000.0
154350000.0,154350000.0
225882352.0,225882352.0
380934976.0,380934976.0
56250000.0,56250000.0
230400000.0,230400000.0
56250000.0,56250000.0
41006248.0,41006248.0
69877504.0,69877504.0
592900032.0,592900032.0
325197376.0,325197376.0
385818752.0,385818752.0
878906240.0,878906240.0
491990624.0,491990624.0
777600000.0,777600000.0
385818752.0,385818752.0
28800000.0,28800000.0
316737920.0,316737920.0
450000000.0,450000000.0
660793984.0,660793984.0
97200000.0,97200000.0
150392304.0,150392304.0
28800000.0,28800000.0
41006248.0,41006248.0
97200000.0,97200000.0
74868752.0,74868752.0
230400000.0,230400000.0
56250000.0,56250000.0
670135552.0,670135552.0
230400000.0,230400000.0
988649984.0,988649984.0
450000000.0,450000000.0
53289476.0,53289476.0
273673184.0,273673184.0
74868752.0,74868752.0
123581248.0,123581248.0
154350000.0,154350000.0
97200000.0,97200000.0
276356256.0,276356256.0
41006248.0,41006248.0
385818752.0,385818752.0
41006248.0,41006248.0
520931264.0,520931264.0
97200000.0,97200000.0
28800000.0,28800000.0
328049984.0,328049984.0
852272768.0,852272768.0
56250000.0,56250000.0
95294120.0,95294120.0
41006248.0,41006248.0
225280000.0,225280000.0
1210104064.0,1210104064.0
19293750.0,19293750.0
121736752.0,121736752.0
450000000.0,450000000.0
40052616.0,40052616.0
450000000.0,450000000.0
154350000.0,154350000.0
74868752.0,74868752.0
187312496.0,187312496.0
41006248.0,41006248.0
74868752.0,74868752.0
41006248.0,41006248.0
97200000.0,97200000.0
369044032.0,369044032.0
41006248.0,41006248.0
54000000.0,54000000.0
441818176.0,441818176.0
189843744.0,189843744.0
575614272.0,575614272.0
28800000.0,28800000.0
70928288.0,70928288.0
28800000.0,28800000.0
95040000.0,95040000.0
276356256.0,276356256.0
671480640.0,671480640.0
19293750.0,19293750.0
230400000.0,230400000.0
93312000.0,93312000.0
777600000.0,777600000.0
328049984.0,328049984.0
276356256.0,276356256.0
39366000.0,39366000.0
328049984.0,328049984.0
118638000.0,118638000.0
771840000.0,771840000.0
505609760.0,505609760.0
1477702656.0,1477702656.0
41006248.0,41006248.0
74868752.0,74868752.0
375391200.0,375391200.0
28800000.0,28800000.0
54166668.0,54166668.0
189843744.0,189843744.0
520931264.0,520931264.0
97200000.0,97200000.0
56250000.0,56250000.0
56250000.0,56250000.0
228118816.0,228118816.0
28800000.0,28800000.0
74868752.0,74868752.0
276356256.0,276356256.0
28800000.0,28800000.0
121555328.0,121555328.0
582762176.0,582762176.0
74868752.0,74868752.0
777600000.0,777600000.0
18158824.0,18158824.0
74868752.0,74868752.0
189843744.0,189843744.0
56250000.0,56250000.0
74868752.0,74868752.0
70464704.0,70464704.0
97200000.0,97200000.0
777600000.0,777600000.0
684393728.0,684393728.0
368011744.0,368011744.0
189843744.0,189843744.0
55357144.0,55357144.0
988649984.0,988649984.0
377944896.0,377944896.0
268460352.0,268460352.0
97200000.0,97200000.0
73205000.0,73205000.0
97200000.0,97200000.0
184712832.0,184712832.0
121736752.0,121736752.0
185213408.0,185213408.0
97200000.0,97200000.0
50000000.0,50000000.0
97200000.0,97200000.0
123581248.0,123581248.0
74868752.0,74868752.0
677338176.0,677338176.0
520931264.0,520931264.0
27547826.0,27547826.0
186923088.0,186923088.0
55147060.0,55147060.0
151975392.0,151975392.0
97200000.0,97200000.0
189843744.0,189843744.0
826434240.0,826434240.0
28800000.0,28800000.0
450000000.0,450000000.0
56250000.0,56250000.0
317115008.0,317115008.0
684393728.0,684393728.0
871394240.0,871394240.0
228246736.0,228246736.0
1216641152.0,1216641152.0
93312000.0,93312000.0
667701184.0,667701184.0
123581248.0,123581248.0
1371881216.0,1371881216.0
41006248.0,41006248.0
154350000.0,154350000.0
97200000.0,97200000.0
56250000.0,56250000.0
74868752.0,74868752.0
56250000.0,56250000.0
189843744.0,189843744.0
97200000.0,97200000.0
328049984.0,328049984.0
385818752.0,385818752.0
230400000.0,230400000.0
54000000.0,54000000.0
445794400.0,445794400.0
520931264.0,520931264.0
154350000.0,154350000.0
72287072.0,72287072.0
123581248.0,123581248.0
265727168.0,265727168.0
982271616.0,982271616.0
381998752.0,381998752.0
40052616.0,40052616.0
97200000.0,97200000.0
56250000.0,56250000.0
189843744.0,189843744.0
93312000.0,93312000.0
38848028.0,38848028.0
954946048.0,954946048.0
684393728.0,684393728.0
328049984.0,328049984.0
28800000.0,28800000.0
684393728.0,684393728.0
756583744.0,756583744.0
435483872.0,435483872.0
94829264.0,94829264.0
55263156.0,55263156.0
328049984.0,328049984.0
755382848.0,755382848.0
56250000.0,56250000.0
230400000.0,230400000.0
55000000.0,55000000.0
97200000.0,97200000.0
385818752.0,385818752.0
74868752.0,74868752.0
41006248.0,41006248.0
444155840.0,444155840.0
27200000.0,27200000.0
189843744.0,189843744.0
123581248.0,123581248.0
189843744.0,189843744.0
28800000.0,28800000.0
7031250.0,7031250.0
520931264.0,520931264.0
41006248.0,41006248.0
56250000.0,56250000.0
1190168704.0,1190168704.0
27733334.0,27733334.0
12150000.0,12150000.0
19293750.0,19293750.0
189843744.0,189843744.0
74868752.0,74868752.0
74868752.0,74868752.0
7031250.0,7031250.0
,
40202208.0,40202208.0
,
41006248.0,41006248.0
,
,
,
,
,
,
230400000.0,230400000.0
19293750.0,19293750.0
385818752.0,385818752.0
276356256.0,276356256.0
1218552576.0,1218552576.0
12150000.0,12150000.0
28800000.0,28800000.0
41006248.0,41006248.0
12150000.0,12150000.0
118208152.0,118208152.0
,
41006248.0,41006248.0
,
56250000.0,56250000.0
12150000.0,12150000.0
189843744.0,189843744.0
,
121109624.0,121109624.0
154350000.0,154350000.0
94572968.0,94572968.0
7031250.0,7031250.0
189843744.0,189843744.0
7031250.0,7031250.0
12150000.0,12150000.0
73599792.0,73599792.0
97200000.0,97200000.0
189843744.0,189843744.0
12150000.0,12150000.0
12150000.0,12150000.0
56250000.0,56250000.0
12150000.0,12150000.0
272231520.0,272231520.0
12150000.0,12150000.0
7031250.0,7031250.0
7031250.0,7031250.0
7031250.0,7031250.0
7031250.0,7031250.0
97200000.0,97200000.0
12150000.0,12150000.0
12150000.0,12150000.0
189843744.0,189843744.0
1475357184.0,1475357184.0
598950016.0,598950016.0
7031250.0,7031250.0
7031250.0,7031250.0
41006248.0,41006248.0
276356256.0,276356256.0
7031250.0,7031250.0
508816576.0,508816576.0
12150000.0,12150000.0
154350000.0,154350000.0
7031250.0,7031250.0
12150000.0,12150000.0
385818752.0,385818752.0
154350000.0,154350000.0
97200000.0,97200000.0
54310344.0,54310344.0
28800000.0,28800000.0
,7909200.0
230400000.0,230400000.0
230400000.0,230400000.0
97200000.0,97200000.0
230400000.0,230400000.0
230400000.0,230400000.0
123581248.0,123581248.0
72845272.0,72845272.0
12150000.0,12150000.0
777600000.0,777600000.0
12150000.0,12150000.0
7031250.0,7031250.0
152145008.0,152145008.0
12150000.0,12150000.0
94254544.0,94254544.0
12150000.0,12150000.0
28800000.0,28800000.0
7031250.0,7031250.0
569002496.0,569002496.0
95657144.0,95657144.0
28800000.0,28800000.0
7031250.0,7031250.0
28800000.0,28800000.0
7031250.0,7031250.0
189843744.0,189843744.0
276356256.0,276356256.0
276356256.0,276356256.0
12150000.0,12150000.0
97200000.0,97200000.0
74868752.0,74868752.0
7031250.0,7031250.0
7031250.0,7031250.0
189843744.0,189843744.0
7031250.0,7031250.0
189843744.0,189843744.0
7031250.0,7031250.0
74868752.0,74868752.0
74868752.0,74868752.0
7031250.0,7031250.0
12150000.0,12150000.0
230400000.0,230400000.0
1234800000.0,1234800000.0
385818752.0,385818752.0
7031250.0,7031250.0
12150000.0,12150000.0
74868752.0,74868752.0
450000000.0,450000000.0
74868752.0,74868752.0
7031250.0,7031250.0
41006248.0,41006248.0
