PDI_max_wmo,PDI_max_usa,PDI_max_tokyo,Pres_min_wmo,r34_max_wmo,r50_max_wmo,r64_max_wmo,storm_speed_max_wmo,lon_weighted,lat_weighted,lon_variance,lat_variance,latlon_covariance,DayofYear_mean
230400000.0,230400000.0,,,,,,10.0,-95.97718811035156,28.109416961669922,10.513896236829977,1.7906104954286874,-4.143782033714767,176.2972972972973
,,,,,,,8.0,-92.17880249023438,20.875581741333008,19.520314457493825,1.2527947106760844,-4.938732914946855,182.5609756097561
,,,,,,,,,,,,,186.0
,,,,,,,,,,,,,191.0
,,,,,,,10.0,-51.0000114440918,15.181336402893066,51.04167596844203,1.1128625311768146,-7.526477909178371,216.0612244897959
450000000.0,450000000.0,,,,,,42.0,-71.30528259277344,27.337032318115234,159.50990525719516,113.44533102178559,-1.327558584881093,233.6969696969697
,,,,,,,7.0,-77.48258209228516,30.362804412841797,2.624168443857671,4.836871297642711,3.4358499917675642,243.56140350877192
,,,,,,,12.0,-80.27689361572266,23.1149959564209,1.507885191895184,4.643587865964277,2.6446609146159976,250.05882352941177
,,,,,,,17.0,-39.55588150024414,40.442195892333984,8.86537768181227,14.886538019663025,11.479418147508282,254.1578947368421
,,,,,,,4.0,-96.58287811279297,26.891069412231445,0.43187614260975105,0.36753110596661276,-0.29912216404412323,257.1714285714286
56250000.0,56250000.0,,,,,,0.0,-73.5,32.5,0.0,0.0,0.0,257.4516129032258
,,,,,,,14.0,-63.74216079711914,31.92210578918457,4.098143980674811,6.720510777843566,-3.061794522863583,264.561797752809
,,,,,,,50.0,-66.66902160644531,31.79824447631836,12.924322007118906,48.07579683887165,-9.080264429835498,284.5609756097561
97200000.0,97200000.0,,,,,,18.0,-74.92914581298828,33.42744445800781,4.623665522924443,14.761514237374914,7.975833729978792,290.4516129032258
,,,,,,,20.0,-65.6353759765625,23.270191192626953,264.7174395308037,20.293994822759778,66.39322804112685,315.56198347107437
450000000.0,450000000.0,,961.0,,,,25.0,-79.82998657226562,27.812145233154297,49.93321313483959,29.701518746465293,-3.9279397173677055,237.06741573033707
,,,,,,,20.0,-73.62474060058594,38.53181457519531,27.102070880657962,12.004151801223856,17.80342742678551,242.44444444444446
154350000.0,154350000.0,,,,,,44.0,-68.41111755371094,26.0489444732666,259.8525504808185,45.99134758557511,21.58772246786964,253.55963302752295
,,,,,,,19.0,-37.63426208496094,37.22752380371094,41.40779341990117,13.224633638063512,22.734428431001525,248.06060606060606
154350000.0,154350000.0,,,,,,17.0,-68.13935089111328,18.418811798095703,7.831458082838383,0.8626785765607824,-2.5891155765556113,249.46666666666667
230400000.0,230400000.0,,,,,,48.0,-63.56627655029297,25.274974822998047,84.47744883986633,79.20233643795225,10.889295684412737,270.8205128205128
,,,,,,,4.0,-87.50917053222656,17.57975959777832,0.7598604381092758,0.26045486758432945,-0.4443753199110299,266.2857142857143
,,,,,,,12.0,-67.9907455444336,22.64034652709961,3.2163299155761402,8.204716949284062,-4.32624136899047,270.7142857142857
,,,,,,,55.0,-35.971248626708984,26.10765266418457,7.127695586812114,53.113840123315526,6.191454452783694,274.4366197183099
,,,,,,,11.0,-74.8773193359375,13.340397834777832,32.17266944902936,0.8805093275801937,-4.577964245373914,274.5609756097561
328049984.0,328049984.0,,,,,,35.0,-76.01937103271484,24.783315658569336,80.17338003227262,84.88322997117298,27.503586280073563,281.68
,,,,,,,37.0,-81.57369995117188,26.478466033935547,15.392231900285246,2.3742543434875696,5.41918807980507,331.38461538461536
,,,,,,,11.0,-67.84414672851562,29.399993896484375,0.742826907268917,6.077524198773089,-2.1234062669517004,216.05882352941177
,,,,,,,,,,,,,217.0
,,,,,,,,,,,,,222.0
,,,,,,,21.0,-56.099857330322266,25.07964515686035,64.80902962177201,67.84535250233604,-43.32876595758235,230.56140350877192
,,,,,,,4.0,-79.39441680908203,18.654998779296875,0.2668612010889132,0.3451550498144731,-0.2822841020870863,238.05882352941177
,,,,,,,15.0,-74.59270477294922,21.11080551147461,63.01084139346136,48.9979675506698,-50.49059415211624,242.06153846153848
988649984.0,988649984.0,,924.0,,,,49.0,-52.182430267333984,26.906774520874023,304.2795344474751,148.56413780476308,-21.465992240308125,247.6969696969697
,,,,,,,49.0,-50.015506744384766,39.03541564941406,2.753518930382893,17.82830288875648,1.1713157758185886,246.4516129032258
,,,,,,,20.0,-87.23389434814453,27.474899291992188,0.6813280280364392,5.633211555881589,0.08764890415693924,252.06060606060606
450000000.0,450000000.0,,,,,,25.0,-40.539947509765625,42.716705322265625,63.225828461928316,12.008694267628416,27.500086273904746,251.95652173913044
328049984.0,328049984.0,,,,,,38.0,-48.96471405029297,42.93077087402344,57.616754750871145,4.155942589030951,15.446796098833614,252.53846153846155
,,,,,,,6.0,-95.34203338623047,20.577608108520508,3.2771112769221267,0.505200973576783,-1.2853142037165528,264.2857142857143
,,,,,,,,,,,,,264.0
,,,,,,,18.0,-59.76640319824219,32.36235046386719,50.81098464545564,10.671112389815411,22.433741696929587,269.6744186046512
154350000.0,154350000.0,,,,,,24.0,-58.98552322387695,34.46015167236328,5.0008524721194405,9.331299928955996,5.617182166709926,271.2093023255814
,,,,,,,6.0,-34.82500076293945,15.02499771118164,1.9288275206390069,0.1438050192498261,-0.5263043041584563,270.05882352941177
,,,,,,,,,,,,,271.0
328049984.0,328049984.0,,,,,,33.0,-80.93277740478516,30.897504806518555,5.325963855615108,5.500005232422138,-4.975256693300683,293.06666666666666
,,,,,,,10.0,-69.72970581054688,23.842987060546875,23.342654484794835,4.14555775817896,6.043965473524782,324.6829268292683
